id,category,productType,type,price,details,image1,image2,inCart,QTY
1,DRAGON BALL Z,Pop!,POP! SUPER SAIYAN GOKU,12.0,Level up your Dragon Ball Z collection with this Pop! of Super Saiyan Goku. Collectible stands 3.75-inches tall.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw5a1ded10/images/funko/3807-1.png?sw=346&sh=346,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw0d416594/images/funko/3807-2.png?sw=346&sh=346,0,1
2,DRAGON BALL Z,Pop!,POP! VEGITO,12.0,"Goku and Vegeta have successfully fused, creating the most powerful warrior, in order to protect Earth and your Dragon Ball Z collection from attackers. Collect Pop! Vegito to save your set from destruction. Vinyl figure is approximately 4.5-inches tall",https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw9a5fce97/images/funko/48662-1.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwde0a7c46/images/funko/48662-2.png?sw=800&sh=800,0,1
3,DRAGON BALL Z,Pop!,POP! GOKU AND FLYING NIMBUS,12.0,"Master Roshi gave Goku the yellow cloud, Flying Nimbus, which he used to travel without using his own energy. It was a gift that had come in handy on more than one occasion. Bring Pop! Goku & Flying Nimbus into your Dragon Ball collection. Collectible stands approximately 3.75-inches tall.",https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwcea5ef81/images/funko/7427-1.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw393f30e4/images/funko/7427-2.png?sw=800&sh=800,0,1
4,DRAGON BALL Z,Pop!,POP! PERFECT CELL,12.0,Cell has attained his perfect form after absorbing Androids 17 and 18. Own this Dragon Ball Z villain for yourself with this Pop! Vinyl.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw4606323c/images/funko/3992-1.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw0008f6e7/images/funko/3992-2.png?sw=800&sh=800,0,1
5,DRAGON BALL Z,Pop!,POP! DENDE,15.0,Dende has been chosen as Earth’s next Guardian. Help this exclusive Pop! Dende fulfill his role by welcoming the Namekian healer into your Dragon Ball Z collection. Vinyl figure is approximately 2.9-inches tall.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwc70a8b42/images/funko/upload/69187a_POPAnimation_DBZ_Dende_GLAM-WEB.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw016ba692/images/funko/upload/69187a_POPAnimation_DBZ_Dende_FYE_GLAM-1-WEB.png?sw=800&sh=800,0,1
6,DRAGON BALL Z,Pop!,POP! SUPER BUU WITH GHOST,15.0,"Relentless, volatile, and irrational, Super Buu with Ghost will do whatever necessary, even destroying himself, to destroy Earth. Pit Goku and the Dragon Team against Pop! Super Buu with Ghost in your Dragon Ball Z collection. There’s a 1 in 6 chance you may find the glow-in-the-dark chase of Pop! Super Buu with Ghost. Vinyl figure is approximately 4.25-inches tall.",https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwe1621079/images/funko/upload/71556_POPAnimation_DBZ_Buu_wGhost_wCH_GLAM-WEB%20-%20Copy.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw87995499/images/funko/upload/71556_POPAnimation_DBZ_Buu_wGhost_wCH_CH_GLAM-1-WEB.png?sw=800&sh=800,0,1
7,DRAGON BALL Z,Pop!,POP! DR. GERO,12.0,"Dr. Gero, or Android 20, is the mastermind behind the creation of Cell and the Red Ribbon Androids. In his ploy to defeat Goku, the Dragon Team, and take over Earth, Dr. Gero has taken on Pop! form to infiltrate your Dragon Ball Z collection. Vinyl figure is approximately 4.5-inches tall",https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw3d915c3b/images/funko/48664-1.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwae68bedb/images/funko/48664-2.png?sw=800&sh=800,0,1
8,DRAGON BALL Z,Pop!,POP! GULDO,12.0,Strike a pose—and a blow to your enemies—with Pop! Guldo! Strengthen your Ginyu Force team when you welcome this boastful warrior into your Dragon Ball Z collection. Vinyl figure is approximately 3.55-inches tall.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw434505a8/images/funko/upload/48667a_POPAnimation_DBZ_Guldo_GLAM-WEB.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw4185bb03/images/funko/upload/48667a_POPAnimation_DBZ_Guldo_GLAM-1-WEB.png?sw=800&sh=800,0,1
9,DRAGON BALL Z,Pop!,POP! GINYU,12.0,Strike a pose—and a blow to your enemies—with Pop! Ginyu! Strengthen your Ginyu Force team when you welcome this merciless warrior into your Dragon Ball Z collection. Vinyl figure is approximately 3.9-inches tall.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwd0a5366b/images/funko/upload/48669a_POPAnimation_DBZ_Ginyu_GLAM-WEB.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwbe222570/images/funko/upload/48669a_POPAnimation_DBZ_Ginyu_GLAM-1-WEB.png?sw=800&sh=800,0,1
10,DRAGON BALL Z,Pop!,POP! RECOOME,12.0,Strike a pose—and a blow to your enemies—with Pop! Recoome! Strengthen your Ginyu Force team when you welcome this gargantuan warrior into your Dragon Ball Z collection. Vinyl figure is approximately 4.85-inches tall.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwae34c59e/images/funko/upload/48668a_POPAnimation_DBZ_Recoome_GLAM-WEB.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwc469e07f/images/funko/upload/48668a_POPAnimation_DBZ_Recoome_GLAM-1-WEB.png?sw=800&sh=800,0,1
11,DRAGON BALL Z,Pop!,POP! BURTER,12.0,Strike a pose—and a blow to your enemies—with Pop! Burter! Strengthen your Ginyu Force team when you welcome this gargantuan warrior into your Dragon Ball Z collection. Vinyl figure is approximately 4.75-inches tall.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw5f40883b/images/funko/upload/48670a_POPAnimation_DBZ_Burter_GLAM-WEB.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw48e51271/images/funko/upload/48670_DBZ_S10_Burter_POP_GLAM-1-WEB.png?sw=800&sh=800,0,1
12,DRAGON BALL Z,Pop!,POP! JIECE,12.0,Strike a pose—and a blow to your enemies—with Pop! Jiece! Strengthen your Ginyu Force team when you welcome this eccentric warrior into your Dragon Ball Z collection. Vinyl figure is approximately 3.85-inches tall.,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwc6f7cf2f/images/funko/upload/48671a_POPAnimation_DBZ_Jiece_GLAM-WEB.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw3417bf0a/images/funko/upload/48671a_POPAnimation_DBZ_Jiece_GLAM-1-WEB.png?sw=800&sh=800,0,1
13,MARVEL,Pop!,POP! BLACK PANTHER (RETRO REIMAGINED),15.0,"Defend humanity and celebrate Disney’s 100th Anniversary with the exclusive, Retro Reimagined Pop! Black Panther! His vibranium mantle has been upgraded with this all-new look. Strengthen your team of heroes by bringing the King of Wakanda into your Marvel collection. Vinyl bobblehead is approximately 3.55-inches tall.",https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dwce400ae0/images/funko/upload/74478_Marvel_RetroBlackPanther_POP_GLAM-WEB.png?sw=800&sh=800,https://funko.com/dw/image/v2/BGTS_PRD/on/demandware.static/-/Sites-funko-master-catalog/default/dw3f24e48a/images/funko/upload/74478_Marvel_RetroBlackPanther_POP_GLAM-1-T-WEB.png?sw=800&sh=800,0,1
